order_id,customer_id,order_time,sku_count,carton_qty,weight_kg,cbm,fresh_flag,cold_flag,priority,inventory_available
O0048,C047,07:53,11,8,299.9,2.1,0,0,normal,True
O0049,C010,06:55,19,7,149.5,4.77,0,0,normal,True
O0050,C069,07:43,13,7,47.8,1.48,0,0,normal,True
O0051,C072,08:14,11,8,261.4,0.79,0,0,normal,True
O0052,C005,07:07,14,3,184.2,4.06,0,1,normal,True
O0053,C070,08:46,17,2,248.2,5.64,0,1,normal,True
O0054,C089,07:28,13,2,220.1,5.87,0,1,vip,True
O0055,C051,06:54,2,4,25.0,2.07,1,0,normal,False
O0056,C073,08:13,12,4,310.9,4.75,0,0,normal,True
O0057,C036,09:08,2,2,57.1,2.21,0,0,normal,True
O0058,C076,06:16,5,9,299.5,2.91,0,1,normal,True
O0059,C066,07:32,18,12,124.1,3.9,0,0,vip,True
O0060,C062,10:43,4,8,360.2,2.0,0,1,normal,True
O0061,C017,08:37,18,10,121.5,3.08,0,0,normal,True
O0062,C090,08:41,8,14,174.9,5.34,0,0,normal,True
O0063,C059,08:06,13,5,381.7,4.15,0,0,normal,True
O0064,C012,09:27,6,13,224.8,3.56,0,1,normal,True
O0065,C043,07:22,3,7,387.5,3.64,0,0,vip,True
O0066,C074,06:42,19,6,150.2,4.6,0,0,normal,True
O0067,C055,11:39,10,10,16.4,1.71,0,0,normal,True
O0068,C044,06:55,6,2,297.7,5.83,0,1,normal,True
O0069,C068,07:29,12,12,311.9,3.45,0,0,vip,True
O0070,C007,08:03,15,11,196.8,2.71,0,0,vip,True
O0071,C097,07:27,17,10,213.1,1.92,0,1,vip,True
O0072,C077,06:19,10,13,119.3,0.81,0,0,normal,True
O0073,C056,07:34,13,14,33.5,5.18,0,0,normal,True
O0074,C003,06:55,15,7,119.4,2.49,0,0,normal,False
O0075,C022,11:29,15,2,338.6,1.54,0,0,normal,True
O0076,C068,07:47,4,3,206.6,0.77,0,0,vip,True
O0077,C100,08:52,6,2,106.1,1.12,1,0,normal,True
O0078,C098,06:49,20,10,182.3,5.55,0,0,normal,True
O0079,C082,10:55,4,8,190.2,3.83,0,0,normal,True
O0080,C076,08:04,13,1,333.5,0.55,0,0,normal,True
O0081,C012,08:24,3,13,182.6,4.88,0,0,normal,True
O0082,C042,08:09,12,13,393.0,0.6,0,1,vip,True
O0083,C006,07:28,13,6,367.6,2.39,0,0,vip,True
O0084,C087,08:41,14,9,117.2,4.37,0,0,normal,True
O0085,C078,10:05,11,6,387.2,4.22,1,0,normal,True
O0086,C077,09:19,6,6,269.7,4.99,0,0,normal,True
O0087,C088,09:41,13,1,127.0,5.71,0,0,normal,True
O0088,C099,06:08,5,13,205.5,3.28,0,0,normal,True
O0089,C068,07:56,6,7,69.1,5.0,1,0,vip,True
O0090,C022,09:26,11,8,302.2,4.72,0,0,normal,True
O0091,C031,07:57,16,10,187.4,1.76,0,0,normal,True
O0092,C068,06:52,10,14,25.6,2.94,0,0,vip,True
O0093,C014,11:54,10,3,182.5,3.13,1,1,normal,True
O0094,C012,09:52,15,1,26.0,3.06,0,0,normal,True
O0095,C011,06:20,12,11,317.6,0.91,0,0,normal,True
O0096,C061,06:48,4,1,12.5,1.37,0,0,vip,True
O0097,C094,07:07,3,2,99.2,3.87,0,0,normal,True
O0098,C009,07:38,9,10,288.8,1.82,0,0,normal,True
O0099,C046,07:11,4,6,381.6,3.31,1,0,normal,True
O0100,C065,07:55,10,6,300.2,2.21,0,1,normal,True
O0101,C031,11:06,6,6,22.5,3.32,0,0,normal,True
O0102,C023,11:29,6,3,29.9,4.68,0,1,normal,True
O0103,C038,06:56,14,9,395.7,3.3,0,1,vip,True
O0104,C097,07:22,12,11,112.9,4.82,1,0,vip,True
O0105,C052,10:21,13,8,370.1,3.16,0,0,normal,True
O0106,C094,07:38,12,5,45.5,2.03,1,0,normal,True
O0107,C058,07:10,13,1,247.9,2.67,0,0,normal,True
O0108,C008,08:25,7,11,381.4,0.94,0,0,normal,True
O0109,C057,06:15,20,7,17.8,1.01,0,0,normal,True
O0110,C048,06:36,10,6,103.6,0.77,0,1,normal,True
O0111,C064,08:07,8,8,398.6,1.78,0,0,normal,True
O0112,C063,06:54,16,12,398.9,4.88,1,1,vip,False
O0113,C041,08:04,7,5,286.2,5.57,0,0,vip,True
O0114,C047,06:12,2,8,147.6,3.48,0,0,normal,True
O0115,C071,06:04,17,12,212.6,4.64,0,1,normal,True
O0116,C010,07:41,13,9,55.7,4.99,0,1,normal,True
O0117,C076,06:27,5,14,209.7,1.89,0,0,normal,True
O0118,C091,08:57,19,4,113.4,3.79,1,0,normal,True
O0119,C012,06:37,12,11,337.8,3.43,1,0,normal,True
O0120,C004,08:49,20,13,169.6,3.87,0,0,normal,True
O0121,C081,08:19,14,11,122.5,0.53,0,0,normal,True
O0122,C057,07:13,12,14,295.0,5.18,1,0,normal,False
O0123,C017,11:35,10,2,182.6,0.93,0,1,normal,True
O0124,C050,10:15,12,14,373.8,4.35,0,1,normal,True
O0125,C021,08:29,4,1,378.4,3.08,0,0,normal,False
O0126,C028,06:03,17,14,117.9,0.15,0,0,vip,True
O0127,C018,11:23,3,7,230.3,1.25,0,0,normal,True
O0128,C010,07:48,5,10,55.8,0.67,0,0,normal,True
O0129,C044,07:48,18,7,20.9,0.33,0,1,normal,True
O0130,C061,06:38,12,15,69.2,5.94,1,0,vip,True
O0131,C039,08:53,11,10,192.6,0.2,0,0,normal,True
O0132,C015,11:19,2,12,240.8,1.67,0,0,normal,True
O0133,C100,06:46,14,9,63.4,4.12,0,1,normal,True
O0134,C090,06:28,8,12,167.1,4.67,1,0,normal,True
O0135,C095,11:08,17,11,212.6,1.95,0,0,normal,True
O0136,C069,07:43,10,11,246.0,1.23,0,0,normal,True
O0137,C072,07:49,17,12,130.2,2.16,0,0,normal,True
O0138,C093,06:36,13,7,382.1,4.85,0,0,normal,True
O0139,C037,09:22,17,12,89.5,4.98,0,0,normal,True
O0140,C072,06:06,3,4,269.6,3.23,0,0,normal,True
O0141,C007,07:45,2,3,386.0,5.87,0,0,vip,True
O0142,C084,10:30,12,5,117.7,0.45,0,0,normal,True
O0143,C084,08:47,7,15,170.1,5.04,0,0,normal,True
O0144,C005,10:50,11,14,351.3,0.15,0,0,normal,True
O0145,C014,10:18,17,9,356.3,0.89,0,0,normal,True
O0146,C035,06:21,7,5,10.6,2.09,0,0,normal,True
O0147,C087,09:39,15,14,208.5,0.61,0,0,normal,True
O0148,C024,10:20,9,7,181.5,1.68,1,0,normal,True
O0149,C075,09:16,5,1,188.8,1.04,0,0,normal,True
O0150,C091,11:07,9,6,91.6,0.89,0,0,normal,True
O0151,C096,10:26,19,13,321.8,4.97,0,0,normal,True
O0152,C088,09:33,20,2,49.3,4.99,0,0,normal,True
O0153,C026,06:10,8,2,288.2,2.98,0,0,normal,True
O0154,C058,10:08,19,1,187.6,4.86,0,0,normal,True
O0155,C051,06:47,13,7,281.7,3.29,1,0,normal,True
O0156,C009,10:02,15,3,152.9,5.36,1,0,normal,True
O0157,C049,08:42,13,14,51.9,5.96,1,0,normal,True
O0158,C017,09:53,16,5,271.0,3.31,1,1,normal,True
O0159,C030,07:09,5,12,17.7,4.0,0,1,normal,True
O0160,C003,06:06,3,11,101.7,0.36,0,0,normal,True
O0161,C070,06:08,20,14,131.0,3.63,0,1,normal,True
O0162,C042,06:42,3,5,224.9,3.59,0,1,vip,True
O0163,C023,07:35,14,11,315.4,1.98,0,1,normal,True
O0164,C020,06:48,11,4,343.7,0.95,0,0,vip,True
O0165,C008,07:35,8,5,135.5,0.57,0,0,normal,True
O0166,C048,08:53,3,11,350.1,1.21,0,0,normal,True
O0167,C093,06:30,2,5,88.7,1.22,0,0,normal,True
O0168,C096,10:58,14,4,366.5,3.36,0,0,normal,True
O0169,C049,08:22,17,15,189.1,4.84,0,0,normal,True
O0170,C098,09:23,9,14,297.8,0.2,1,0,normal,True
O0171,C075,07:18,20,7,334.2,3.05,0,0,normal,True
O0172,C088,07:46,13,3,71.9,4.35,0,0,normal,True
O0173,C070,09:33,3,14,306.9,2.53,0,1,normal,True
O0174,C030,06:00,17,1,265.4,0.19,0,1,normal,True
O0175,C053,08:46,18,1,326.2,4.08,0,0,normal,True
O0176,C023,06:33,10,9,327.0,1.68,1,1,normal,True
O0177,C048,10:36,4,5,263.2,5.16,0,0,normal,True
O0178,C012,07:35,7,12,37.7,5.09,0,0,normal,True
O0179,C043,06:57,20,4,192.8,0.37,1,0,vip,True
O0180,C036,11:42,2,6,384.8,3.56,0,1,normal,True
O0181,C092,09:19,14,14,272.4,3.29,0,0,normal,True
O0182,C095,08:46,3,6,43.6,1.47,0,1,normal,True
O0183,C078,11:25,10,11,314.5,2.76,0,0,normal,True
O0184,C071,10:11,11,2,320.2,4.31,0,1,normal,True
O0185,C020,08:09,4,2,7.1,1.92,0,0,vip,True
O0186,C035,06:11,15,9,45.8,0.63,0,0,normal,True
O0187,C077,07:55,4,7,291.3,3.4,0,0,normal,False
O0188,C032,06:43,10,5,199.8,0.47,1,0,normal,True
O0189,C054,06:23,17,11,239.6,1.25,0,0,normal,True
O0190,C039,07:21,12,14,178.9,2.64,0,0,normal,True
O0191,C084,09:19,17,4,129.1,5.79,0,0,normal,False
O0192,C038,11:31,14,6,115.7,4.74,0,0,vip,True
O0193,C073,08:11,16,12,377.5,1.34,0,0,normal,True
O0194,C089,07:43,10,4,265.2,4.32,0,1,vip,True
O0195,C010,08:30,15,15,219.7,4.77,0,0,normal,True
O0196,C069,06:06,7,6,260.6,0.36,0,0,normal,False
O0197,C087,07:50,9,5,206.7,3.16,1,0,normal,True
O0198,C074,07:25,18,12,64.5,5.99,0,0,normal,True
O0199,C038,06:07,11,6,140.5,4.73,0,0,vip,True
O0200,C045,07:46,3,5,325.0,0.78,0,0,normal,True
O0201,C083,06:59,19,3,68.3,3.4,0,0,normal,False
O0202,C030,11:11,2,7,296.3,5.31,0,1,normal,True
O0203,C055,08:13,4,13,233.1,4.82,0,0,normal,True
O0204,C047,07:07,12,9,240.8,3.71,0,0,normal,True
O0205,C045,07:39,11,13,367.9,3.58,0,0,normal,True
O0206,C041,07:07,14,9,170.2,0.91,0,0,vip,True
O0207,C024,08:44,19,3,70.9,1.8,0,0,normal,True
O0208,C058,07:00,19,7,204.6,3.02,1,0,normal,True
O0209,C054,10:31,9,13,120.4,1.72,0,0,normal,True
O0210,C022,11:47,5,9,231.2,1.68,0,0,normal,True
O0211,C047,06:48,5,7,295.7,3.96,0,0,normal,True
O0212,C005,07:55,9,2,87.9,4.45,0,0,normal,True
O0213,C091,07:10,8,14,323.1,3.46,0,0,normal,True
O0214,C077,07:45,18,14,394.3,4.11,0,0,normal,True
O0215,C097,09:17,6,14,103.6,4.3,1,0,vip,True
O0216,C098,10:31,15,11,153.2,0.55,0,1,normal,True
O0217,C099,08:47,16,6,380.4,2.03,0,0,normal,True
O0218,C100,09:46,13,12,340.8,4.79,0,0,normal,True
O0219,C055,10:17,20,9,56.6,5.13,0,0,normal,True
O0220,C088,09:06,5,1,372.1,1.03,0,0,normal,True
