customer_id,customer_name,lat,lng,district,zone,receive_start,receive_end,unload_min,truck_access_type,priority
C034,Store_034,10.664092,106.73022,Binh Chanh,south_hcm,09:00,17:00,22,5T_allowed,normal
C035,Store_035,10.657455,106.748689,Nha Be,south_hcm,08:00,18:00,22,5T_allowed,normal
C036,Store_036,10.727224,106.669872,Binh Chanh,south_hcm,08:00,18:00,30,5T_allowed,normal
C037,Store_037,10.650552,106.731546,Nha Be,south_hcm,08:00,17:00,18,5T_allowed,normal
C038,Store_038,10.720686,106.722901,Nha Be,south_hcm,08:00,18:00,16,5T_allowed,vip
C039,Store_039,10.727127,106.657404,District 7,south_hcm,08:00,17:00,25,5T_allowed,normal
C040,Store_040,10.685847,106.661587,District 7,south_hcm,08:00,18:00,29,5T_allowed,normal
C041,Store_041,10.81631,106.76233,District 9,east_hcm,08:00,17:00,29,5T_allowed,vip
C042,Store_042,10.76309,106.706356,District 2,east_hcm,08:00,18:00,15,cold_required,vip
C043,Store_043,10.761098,106.732518,District 2,east_hcm,08:00,17:00,30,5T_allowed,vip
C044,Store_044,10.802961,106.763756,District 2,east_hcm,08:00,17:00,15,small_vehicle_only,normal
C045,Store_045,10.818721,106.747221,District 9,east_hcm,08:00,17:00,30,5T_allowed,normal
C046,Store_046,10.741959,106.771324,District 2,east_hcm,09:00,18:00,16,5T_allowed,normal
C047,Store_047,10.806079,106.756128,Thu Duc City,east_hcm,08:00,18:00,20,5T_allowed,normal
C048,Store_048,10.807097,106.74938,District 2,east_hcm,08:00,18:00,17,5T_allowed,normal
C049,Store_049,10.782273,106.742754,District 2,east_hcm,09:00,17:00,16,5T_allowed,normal
C050,Store_050,10.732542,106.710789,Thu Duc City,east_hcm,09:00,18:00,25,cold_required,normal
C051,Store_051,10.733143,106.763641,Thu Duc City,east_hcm,08:00,17:00,23,5T_allowed,normal
C052,Store_052,10.761436,106.750857,District 9,east_hcm,08:00,17:00,17,5T_allowed,normal
C053,Store_053,10.820757,106.724929,Thu Duc City,east_hcm,08:00,17:00,21,5T_allowed,normal
C054,Store_054,10.771038,106.775555,District 9,east_hcm,08:00,17:00,26,5T_allowed,normal
C055,Store_055,10.75288,106.707698,Thu Duc City,east_hcm,09:00,17:00,15,5T_allowed,normal
C056,Store_056,10.758975,106.716122,Thu Duc City,east_hcm,08:00,17:00,23,5T_allowed,normal
C057,Store_057,10.82297,106.780812,Thu Duc City,east_hcm,08:00,17:00,24,5T_allowed,normal
C058,Store_058,10.79334,106.787146,District 2,east_hcm,09:00,18:00,23,5T_allowed,normal
C059,Store_059,10.810367,106.718657,District 2,east_hcm,08:00,18:00,28,2T_only,normal
C060,Store_060,10.819256,106.753934,District 9,east_hcm,08:00,18:00,23,5T_allowed,normal
C061,Store_061,10.780744,106.639609,District 6,west_hcm,08:00,18:00,15,5T_allowed,vip
C062,Store_062,10.7318,106.561005,District 6,west_hcm,08:00,18:00,16,2T_only,normal
C063,Store_063,10.722794,106.592711,Binh Tan,west_hcm,08:00,17:00,16,5T_allowed,vip
C064,Store_064,10.781801,106.636073,Binh Tan,west_hcm,08:00,17:00,22,5T_allowed,normal
C065,Store_065,10.700695,106.601075,District 6,west_hcm,08:00,18:00,19,cold_required,normal
C066,Store_066,10.741741,106.572211,Binh Tan,west_hcm,08:00,17:00,15,5T_allowed,vip
C067,Store_067,10.711987,106.583762,Tan Phu,west_hcm,09:00,18:00,22,5T_allowed,normal
C068,Store_068,10.794291,106.58232,Binh Tan,west_hcm,08:00,17:00,30,5T_allowed,vip
C069,Store_069,10.751879,106.620302,Tan Phu,west_hcm,08:00,17:00,22,5T_allowed,normal
C070,Store_070,10.736363,106.647178,Tan Phu,west_hcm,08:00,17:00,17,cold_required,normal
C071,Store_071,10.796245,106.575178,District 6,west_hcm,09:00,17:00,25,cold_required,normal
C072,Store_072,10.749725,106.580088,Tan Phu,west_hcm,08:00,18:00,23,5T_allowed,normal
C073,Store_073,10.728484,106.553689,Tan Phu,west_hcm,09:00,17:00,28,5T_allowed,normal
C074,Store_074,10.760956,106.600268,Tan Phu,west_hcm,09:00,17:00,23,5T_allowed,normal
C075,Store_075,10.705148,106.577865,District 6,west_hcm,09:00,18:00,21,5T_allowed,normal
C076,Store_076,10.790827,106.573956,District 6,west_hcm,08:00,18:00,25,5T_allowed,normal
C077,Store_077,10.714489,106.598945,Tan Phu,west_hcm,09:00,17:00,28,5T_allowed,normal
C078,Store_078,10.798565,106.574206,District 6,west_hcm,08:00,17:00,28,5T_allowed,normal
C079,Store_079,10.767214,106.626162,District 6,west_hcm,08:00,18:00,24,5T_allowed,vip
C080,Store_080,10.723764,106.622822,Tan Phu,west_hcm,08:00,17:00,28,5T_allowed,normal
C081,Store_081,10.756778,106.713231,District 3,central_hcm,08:00,17:00,29,5T_allowed,normal
C082,Store_082,10.783353,106.703577,District 5,central_hcm,08:00,18:00,17,5T_allowed,normal
C083,Store_083,10.729029,106.73353,District 5,central_hcm,08:00,17:00,22,5T_allowed,normal
C084,Store_084,10.752078,106.668652,District 1,central_hcm,08:00,17:00,16,5T_allowed,normal
C085,Store_085,10.724078,106.709089,District 1,central_hcm,08:00,17:00,21,5T_allowed,normal
C086,Store_086,10.787756,106.651659,District 3,central_hcm,08:00,17:00,15,2T_only,vip
C087,Store_087,10.771209,106.67265,District 1,central_hcm,08:00,17:00,20,5T_allowed,normal
C088,Store_088,10.784517,106.667437,District 3,central_hcm,08:00,18:00,22,2T_only,normal
C089,Store_089,10.789094,106.688674,District 1,central_hcm,08:00,18:00,25,cold_required,vip
C090,Store_090,10.813673,106.663752,District 5,central_hcm,09:00,18:00,28,2T_only,normal
C091,Store_091,10.754107,106.661347,District 1,central_hcm,09:00,17:00,29,5T_allowed,normal
C092,Store_092,10.812469,106.737734,District 5,central_hcm,08:00,18:00,30,5T_allowed,normal
C093,Store_093,10.745794,106.715998,District 1,central_hcm,09:00,17:00,22,5T_allowed,normal
C094,Store_094,10.801722,106.70552,District 5,central_hcm,08:00,17:00,19,5T_allowed,normal
C095,Store_095,10.772965,106.674185,District 5,central_hcm,08:00,17:00,28,5T_allowed,normal
C096,Store_096,10.72931,106.739722,District 3,central_hcm,08:00,17:00,28,5T_allowed,normal
C097,Store_097,10.810042,106.71331,District 5,central_hcm,08:00,18:00,27,5T_allowed,vip
C098,Store_098,10.753903,106.684921,District 3,central_hcm,08:00,17:00,22,5T_allowed,normal
C099,Store_099,10.792596,106.739711,District 3,central_hcm,08:00,17:00,25,5T_allowed,normal
C100,Store_100,10.808709,106.727988,District 5,central_hcm,08:00,17:00,19,small_vehicle_only,normal
